day,lat,lon,sst,mld,deepN,iron,biomass,agents,zoo,centric,pennate,chain,cocco,flagellate,thalassio,rhizo,corethron,tricho,radiolarian,ceratium,acantharia,foram,ornitho,status
0,50.13,-4.39,10.9,42,12.2,1.00,11.0,22,5,0.0,0.5,0.0,2.0,0.0,0.6,0.0,0.5,0.0,1.4,1.6,0.5,0.6,0.0,AT SEA
10,34.70,-9.92,17.7,104,6.2,1.00,17.6,32,6,3.8,2.7,0.6,0.5,0.0,1.3,0.0,0.0,0.6,0.7,0.7,0.0,1.9,0.0,AT SEA
20,27.99,-13.65,18.2,48,3.2,1.00,14.5,31,7,0.0,2.0,0.5,2.5,0.0,0.6,1.4,0.0,0.7,0.0,0.0,1.0,0.4,0.7,AT SEA
30,23.24,-17.46,18.9,40,7.2,1.00,17.5,31,7,0.0,2.8,0.0,1.4,0.4,1.4,0.8,1.0,1.0,1.7,0.0,1.5,2.1,0.8,AT SEA
40,17.87,-20.25,22.4,42,7.6,1.00,19.4,36,7,0.8,2.2,1.9,1.2,0.0,0.0,1.9,0.6,0.0,0.0,0.0,1.2,0.7,2.2,AT SEA
50,14.18,-23.98,24.7,31,1.2,1.00,14.4,23,7,0.0,0.0,0.0,2.1,0.0,0.7,0.0,0.0,0.0,0.9,0.0,0.0,4.4,0.7,AT SEA
60,7.48,-27.22,27.9,35,0.5,1.00,8.5,18,7,0.5,0.0,0.5,0.6,0.0,0.6,0.4,0.7,0.0,0.0,0.0,1.0,1.3,0.8,AT SEA
70,0.76,-30.36,29.0,16,1.2,1.00,9.8,19,7,0.0,0.2,0.0,1.0,0.0,0.9,1.1,0.0,0.5,0.0,0.0,2.4,1.2,0.0,AT SEA
80,-7.91,-32.62,28.9,40,2.2,1.00,11.3,21,7,1.2,0.0,0.0,0.6,0.0,0.7,0.0,0.6,0.0,3.1,0.5,1.3,0.0,0.0,AT SEA
90,-15.79,-38.35,29.6,33,0.8,1.00,8.2,17,7,0.0,0.5,0.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.3,1.5,AT SEA
100,-23.50,-41.24,27.6,34,1.1,1.00,10.3,19,7,0.0,0.0,0.0,0.5,0.0,0.0,0.7,0.5,0.7,3.7,0.0,1.2,0.5,0.0,AT SEA
110,-29.90,-47.38,25.2,32,2.6,1.00,15.2,27,7,0.5,0.5,0.6,1.3,0.0,0.0,0.5,0.0,1.3,4.3,0.0,2.4,0.0,0.9,AT SEA
120,-35.25,-54.53,19.9,9,4.7,1.00,17.9,33,7,2.6,0.8,0.0,1.8,0.5,0.0,0.4,0.6,0.6,1.1,0.0,1.0,5.3,0.0,AT SEA
130,-35.05,-56.25,19.5,7,3.8,1.00,12.0,26,7,1.0,1.5,0.2,0.2,0.0,0.3,1.0,0.0,0.4,2.2,0.0,3.0,1.3,0.0,ANCHORED  RIO DE LA PLATA
140,-35.05,-56.25,18.1,7,4.3,1.00,14.2,25,7,0.5,0.0,1.2,0.0,0.0,0.0,0.5,0.0,0.9,2.1,0.0,4.0,3.2,1.7,ANCHORED  RIO DE LA PLATA
150,-47.86,-65.75,11.4,46,25.1,1.00,25.6,48,7,0.0,1.5,1.2,0.0,1.2,0.4,0.6,2.2,2.4,1.2,0.0,0.0,0.7,1.3,AT SEA
160,-48.36,-66.12,10.1,48,29.1,1.00,13.8,33,5,0.5,1.6,0.5,0.0,0.0,1.9,0.6,0.2,0.5,2.7,0.0,2.0,2.3,0.0,AT SEA
170,-48.79,-66.66,10.2,47,30.0,1.00,13.7,37,7,0.0,0.2,0.9,0.2,0.5,1.0,0.0,0.0,1.0,1.7,0.8,2.6,2.1,1.0,AT SEA
180,-49.21,-67.20,9.6,43,30.0,0.96,13.1,36,7,0.0,1.7,0.8,0.4,0.0,1.9,0.5,0.3,1.9,2.1,0.0,2.8,0.8,0.0,AT SEA
190,-49.55,-67.65,9.3,63,30.0,0.92,13.0,36,7,0.7,0.4,0.5,0.7,0.0,2.4,1.9,0.9,0.3,1.5,0.0,2.8,0.9,0.0,ANCHORED  PORT ST JULIAN
200,-49.55,-67.65,9.1,45,30.0,0.92,14.6,36,7,0.0,2.1,2.1,0.0,0.0,1.8,0.0,0.0,0.5,2.1,0.0,2.5,2.5,0.0,ANCHORED  PORT ST JULIAN
210,-49.55,-67.65,8.1,45,30.0,0.92,13.1,37,7,0.0,0.6,1.1,0.2,0.0,1.7,0.6,0.5,0.2,1.4,0.0,2.1,3.4,0.0,ANCHORED  PORT ST JULIAN
220,-49.55,-67.65,7.8,48,30.0,0.92,12.6,35,7,0.4,2.4,1.8,0.0,0.0,2.1,0.0,0.0,0.0,1.9,0.0,1.9,2.2,0.0,ANCHORED  PORT ST JULIAN
230,-49.55,-67.65,7.2,45,30.0,0.92,11.5,36,7,0.0,0.0,0.7,0.3,0.0,2.0,0.8,0.6,0.9,1.6,0.5,2.0,1.6,0.0,ANCHORED  PORT ST JULIAN
240,-49.55,-67.65,6.3,45,30.0,0.92,12.9,34,7,0.0,0.0,0.3,0.0,0.0,3.5,1.1,0.8,0.4,0.3,0.0,3.1,2.9,0.0,ANCHORED  PORT ST JULIAN
250,-52.45,-68.45,5.6,45,30.0,0.81,22.7,43,7,0.6,0.2,1.8,0.9,0.0,6.3,0.4,0.4,1.6,1.2,0.0,3.2,0.8,0.0,AT SEA
260,-53.56,-72.14,6.6,42,30.0,0.89,17.3,38,7,0.8,1.6,2.3,0.7,0.0,2.4,0.8,1.5,0.0,1.1,0.0,1.0,3.3,0.0,AT SEA
270,-52.75,-75.00,6.3,34,30.0,0.87,14.9,36,7,0.0,0.7,1.6,0.3,0.0,0.3,0.7,0.8,1.4,1.5,0.0,2.5,4.3,0.0,AT SEA
280,-52.41,-75.43,6.6,24,30.0,0.81,17.6,37,7,0.5,0.0,2.8,0.0,0.0,5.4,0.2,0.2,0.0,2.6,0.0,2.5,2.5,0.0,AT SEA
290,-51.99,-75.28,6.1,16,30.0,0.85,18.1,36,7,0.0,0.3,1.0,0.0,0.9,8.9,0.3,0.0,0.3,1.0,0.0,2.0,3.4,0.0,AT SEA
300,-52.45,-75.28,6.2,24,30.0,0.83,40.0,39,7,0.0,0.0,1.7,0.3,0.0,34.1,0.0,1.2,0.0,0.0,0.0,0.0,1.8,0.0,AT SEA
310,-56.13,-71.22,5.6,68,30.0,0.62,27.1,40,7,0.4,0.0,2.0,0.5,0.5,19.0,0.2,0.0,0.9,0.9,0.0,0.0,0.0,0.0,AT SEA
320,-55.82,-68.90,5.9,46,30.0,0.78,50.0,39,7,0.6,0.0,0.5,0.0,0.0,42.5,0.0,0.0,0.0,1.3,0.0,1.5,1.0,0.0,AT SEA
330,-51.98,-76.14,7.2,43,29.8,0.71,42.6,41,7,0.0,1.2,0.0,0.0,0.7,22.5,2.0,0.0,0.0,0.0,0.0,1.7,1.1,0.6,AT SEA
340,-43.98,-75.06,12.2,16,10.2,1.00,39.5,43,7,1.4,9.2,3.7,0.5,0.0,13.4,0.0,1.2,0.0,0.0,0.0,1.8,1.3,0.8,AT SEA
350,-35.44,-73.09,14.3,20,12.6,1.00,40.2,50,7,2.6,2.1,0.8,0.8,0.0,11.2,0.9,0.0,0.9,0.0,0.0,0.0,3.0,0.0,AT SEA
360,-31.87,-72.06,15.5,18,12.1,1.00,36.8,41,7,0.0,5.2,0.6,1.6,0.0,18.4,0.0,0.7,0.3,0.0,0.0,0.0,0.5,0.0,AT SEA
370,-28.17,-71.57,15.8,16,8.5,1.00,48.1,38,6,1.2,6.8,0.0,0.5,0.0,31.5,0.0,0.0,0.0,0.6,0.0,1.5,1.7,0.0,AT SEA
380,-27.35,-71.05,17.5,11,6.6,1.00,38.4,37,7,0.0,0.0,0.0,0.7,0.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANCHORED  SALADA BAY
390,-27.35,-71.05,16.9,10,6.0,1.00,33.3,35,7,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANCHORED  SALADA BAY
400,-27.35,-71.05,17.9,9,5.4,1.00,30.8,31,7,0.0,0.0,0.0,0.0,0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANCHORED  SALADA BAY
410,-24.00,-70.96,20.1,10,1.4,1.00,18.8,23,7,0.0,0.9,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.8,1.1,0.0,0.0,AT SEA
420,-18.49,-70.52,22.0,8,6.5,1.00,19.6,31,7,1.2,2.1,0.0,2.0,0.0,1.0,0.0,0.0,1.1,3.9,0.0,0.0,3.8,0.0,AT SEA
430,-10.58,-78.81,22.2,9,7.9,1.00,27.2,42,7,2.0,0.0,0.6,0.5,0.0,2.0,0.0,0.5,0.0,3.6,0.9,4.1,1.0,0.9,AT SEA
440,-1.48,-81.09,24.9,6,9.2,1.00,23.5,39,7,3.0,0.4,0.6,3.4,0.0,0.8,1.2,0.0,0.8,0.7,1.0,2.1,4.3,0.0,AT SEA
